REF,COUNTRY,ADM0_A3,ZONE,ST_DATE,END_DATE,YEAR,DIS_TYPE,DIS_CATEGORY,RESPONSE_TYPE,TOT_TARGET_BENIFICIARIES,TOTAL_BUDGET
753,Kenya,KEN,Africa,5/1/2004,12/1/2004,2004,Floods,Natural Hydrometeorologic hydrological,Information bulletin,7886,
754,Nicaragua,NIC,Americas,7/1/2004,12/1/2004,2004,Mudslides,Natural Hydrometeorologic hydrological,Information bulletin,5751,
755,China,CHN,Asia Pacific,8/1/2004,10/1/2004,2004,Flooding,Natural Hydrometeorologic hydrological,Information bulletin,10000,200000
756,Ukraine,UKR,Europe,5/1/2004,12/1/2004,2004,Explosion Of Ammunition Depot,Technological Industrial accident ,Information bulletin,600,10000
758,Sudan,SDN,Africa,6/1/2004,12/1/2004,2004,darfur,not known,Report not found,,
759,Egypt,EGY,Middle East and North Africa,8/1/2004,12/1/2004,2004,Palestinian Refugees,Human related,Information bulletin,2500,75000
760,Uganda,UGA,Africa,8/1/2004,12/1/2004,2004,Youth Alliance,not known,Report not found,,
762,Panama,PAN,Americas,9/1/2004,12/1/2004,2004,Floods,Natural Hydrometeorologic hydrological,Information bulletin,2500,50000
764,Rwanda,RWA,Africa,10/1/2004,4/1/2005,2004,People fleeing Burndi,Human related,Information bulletin,3250,50000
766,Tajikistan,TJK,Europe,7/1/2004,11/1/2004,2004,Water & Sanitation,not known,Report not found,,
767,Paraguay,PRY,Americas,8/1/2004,3/1/2005,2004, Fire,Human related,Information bulletin,3000,9300
768,Senegal,SEN,Africa,10/1/2004,12/1/2004,2004,Cholera,Natural Biological,Information bulletin,475,27000
769,Central African Republic,CAF,Africa,11/1/2004,2/1/2005,2004,Floods,Natural Hydrometeorologic hydrological,Information bulletin,500,20000
770,Costa Rica,CRI,Americas,11/1/2004,11/1/2005,2004,Floods,Natural Hydrometeorologic hydrological,Information bulletin,5000,40000
771,Panama,PAN,Americas,8/1/2004,1/1/2005,2004,Floods,Natural Hydrometeorologic hydrological,Information bulletin,2500,50000
772,Albania,ALB,Europe,11/1/2004,1/1/2005,2004,Floods,Natural Hydrometeorologic hydrological,Information bulletin,2500,80427
773,Colombia,COL,Americas,1/1/2004,12/1/2004,2004,Earthquake Edan,Natural Geophysical,Information bulletin,8016,50000
774,Zambia,ZMB,Africa,12/1/2004,2/1/2004,2004,Cholera Outbreak,Natural Biological,Information bulletin,5865,50000
775,Iran,IRN,Middle East and North Africa,12/1/2003,5/1/2008,2003,Bam Earthquake,Natural Geophysical,Emergency appeal,210000,31446579
777,Iraq,IRQ,Middle East and North Africa,9/1/2003,3/1/2006,2003,Humanitarian crisis- post war rehabilitation,Human related,Emergency appeal,305000,30937383
778,Algeria,DZA,Middle East and North Africa,5/1/2003,12/1/2005,2003,Earthquake,Natural Geophysical,Emergency appeal,40000,4797861
779,China,CHN,Asia Pacific,7/1/2003,5/1/2004,2003,Floods,Natural Hydrometeorologic hydrological,Emergency appeal,440000,7932000
