REF,COUNTRY,ADM0_A3,ZONE,ST_DATE,END_DATE,YEAR,DIS_TYPE,DIS_CATEGORY,RESPONSE_TYPE,TOT_TARGET_BENIFICIARIES,TOTAL_BUDGET
541,Chad,TCD,Africa,6/1/2006,3/1/2007,2006,Floods,Natural Hydrometeorologic hydrological,DREF,150000,0
543,Chile,CHL,Americas,1/1/2006,4/1/2007,2006,Floods,Natural Hydrometeorologic hydrological,DREF,62416,130000
544,China,CHN,Asia Pacific,8/1/2006,7/1/2007,2006,Flood,Natural Hydrometeorologic hydrological,Emergency appeal,240000,5950200
545,Colombia,COL,Americas,1/1/2006,11/1/2007,2006,Floods,Natural Hydrometeorologic hydrological,DREF,5810,160000
550,Ecuador,ECU,Americas,8/1/2006,1/1/2007,2006,Volcanic Eruption,Natural Geophysical,Emergency appeal,5475,632064
551,Ecuador,ECU,Americas,1/1/2006,4/1/2007,2006,Floods,Natural Hydrometeorologic hydrological,DREF,26000,80000
552,Egypt,EGY,Middle East and North Africa,2/1/2006,8/1/2006,2006,Ferry disaster,Human related,DREF,2518,50000
553,Egypt,EGY,Middle East and North Africa,2/1/2006,9/1/2006,2006,Avian influenza,Natural Biological,DREF,1267,39936
554,Egypt,EGY,Middle East and North Africa,5/1/2006,9/1/2006,2006,Dahab bomb explosions,Human related,DREF,150,30000
555,Ethiopia,ETH,Africa,8/1/2006,9/1/2007,2006,Floods,Natural Hydrometeorologic hydrological,Emergency appeal,45000,3578292
556,Ethiopia,ETH,Africa,8/1/2006,1/1/2007,2006,Acute Watery Diarrhoea Outbreak,Natural Biological,DREF,18520,56000
557,Ethiopia,ETH,Africa,1/1/2006,12/1/2007,2006,Drought,Natural Hydrometeorologic hydrological,Emergency appeal,36341,1877033
560,Guinea,GIN,Africa,6/1/2006,7/1/2006,2006,Cholera,Natural Biological,DREF,110085,20000
561,Haiti,HTI,Americas,12/1/2006,4/1/2007,2006,Floods,Natural Hydrometeorologic hydrological,Emergency appeal,11845,418501
562,Haiti,HTI,Americas,1/1/2006,7/1/2007,2006,Floods from tropical storm Ernesto,Natural Hydrometeorologic hydrological,DREF,3325,90000
563,Indonesia,IDN,Asia Pacific,5/1/2006,10/1/2011,2006,Yogyakarta Earthquake,Natural Geophysical,Emergency appeal,325000,32667430
564,Indonesia,IDN,Asia Pacific,1/1/2006,5/31/2009,2006,Sumatra Floods,Natural Hydrometeorologic hydrological,Emergency appeal,100000,520632
565,Iraq,IRQ,Middle East and North Africa,2/1/2006,4/1/2006,2006,Floods,Natural Hydrometeorologic hydrological,Emergency appeal,25000,1802139
566,Kenya,KEN,Africa,11/17/2006,6/8/2009,2006,Floods,Natural Hydrometeorologic hydrological,Emergency appeal,300000,9646293
