ARC_num,DisasterName,Date,Region,Country,ADM0_A3,TotalAffected,Money,PeopleDeployed,TotalSupplies,HygieneKits,Blankets,JerryCans,Buckets,Tents,KitchenSets,SleepingMats,MosquitoNets,FoodParcels,Tarps,Vehicles,OtherItems,RiceBags,TotalContributions
244,Mongolia Severe Winter,5/10/2010,Europe/Asia,Mongolia,MNG,507000,145000,,,,,,,,,,,,,,,,145000
245,Nepal Diarrhea Outbreak,5/20/2010,Europe/Asia,Nepal,NPL,67000,50000,,,,,,,,,,,,,,,,50000
246,Tropical Storm Agatha,6/1/2010,LAC,Guatemala,GTM,173518,100000,,9900,1000,7500,900,,,500,,,,,,,,180000
247,Kyrgyzstan-Uzbekistan Population Movement,6/1/2010,Europe/Asia,Kyrgyzstan,KGZ,375000,100000,,,,,,,,,,,,,,,,100000
247,Kyrgyzstan-Uzbekistan Population Movement,6/1/2010,Europe/Asia,Uzbekistan,UZB,,100000,,,,,,,,,,,,,,,,100000
248,Pakistan Monsoon Floods,8/2/2010,Europe/Asia,Pakistan,PAK,20000000,4850000,2,99900,,35000,15000,3650,,10000,,20000,,10000,,6250,,8200000
249,Mexico Floods,10/1/2010,LAC,Mexico,MEX,500000,200000,,,,,,,,,,,,,,,,200000
250,Vietnam Floods,10/18/2010,Europe/Asia,Vietnam,VNM,660000,30000,,,,,,,,,,,,,,,,30000
251,Haiti & Dominican Republic Cholera Outbreak,10/24/2010,LAC,Dominican Republic,DOM,,,,,,,,,,,,,,,,,,0
251,Haiti & Dominican Republic Cholera Outbreak,10/24/2010,LAC,Haiti,HTI,,2320081,,,,,,,,,,,,,,,,16068357
252,Philippines Typhoon Megi,10/26/2010,Europe/Asia,Philippines,PHL,2000000,30000,,,,,,,,,,,,,,,,30000
254,Caribbean Hurricane Tomas,11/3/2010,LAC,Barbados,BRB,9500,145000,6,,,,,,,,,,,,,,,145000
253,Indonesia Tsunami & Volcanic Eruption,11/8/2010,Europe/Asia,Indonesia,IDN,215000,50000,,,,,,,,,,,,,,,,50000
255,Belize Hurricane Richard,11/9/2010,LAC,Belize,BLZ,,80000,1,,,,,,,,,,,,,,,80000
256,Costa Rica Floods,11/10/2010,LAC,Costa Rica,CRI,13500,322330,,,,,,,,,,,,,,,,322330
258,Panama Floods,11/30/2010,LAC,Panama,PAN,6200,,,1714,214,1500,,,,,,,,,,,,9812
257,Colombian Floods,12/16/2010,LAC,Colombia,COL,1500000,200000,,6000,,,,,,,,6000,,,,,,240000
260,New Zealand Earthquake,2/23/2011,Europe/Asia,New Zealand,NZL,,826450,,,,,,,,,,,,,,,,826450
259,North Africa & Middle East Civil Unrest,2/28/2011,Europe/Asia,Syria,SYR,,,,,,,,,,,,,,,,,,0
259,North Africa & Middle East Civil Unrest,2/28/2011,Europe/Asia,Tunisia,TUN,,,,,,,,,,,,,,,,,,0
261,Paraguay Dengue Epidemic,3/1/2011,LAC,Paraguay,PRY,,56000,,,,,,,,,,,,,,,,56000
262,Japan Earthquake & Tsunami,3/11/2011,Europe/Asia,Japan,JPN,300000,279800000,3,,,,,,,,,,,,,,,279800000
263,Bolivia Floods,3/23/2011,LAC,Bolivia,BOL,70000,182000,,,,,,,,,,,,,,,,182000
